ndc11,DRUG
00338004938,NS
54569482100,Propofol (Generic)
00008092303,Pantoprazole Sodium
10019001303,Propofol (Generic)
00074978901,NEO*IV*Fat Emulsion
00338002304,D10W
00517293025,Sodium Chloride
00182138167,NEO*PO*Ferrous Sulfate Elixer
49281027183,Tetanus-Diphtheria Toxoids-Td
00517490125,Dexamethasone
00054418425,Dexamethasone
00781305714,Ondansetron
51079090520,Phenytoin
00182844789,Acetaminophen
67618030011,Senna
00338067104,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS
00338069104,Potassium Chl 20 mEq / 1000 mL NS
00406051201,Oxycodone-Acetaminophen
00641036725,Dexamethasone
00121048910,DiphenhydrAMINE
00409131230,HYDROmorphone (Dilaudid)
50474059540,Levetiracetam
00641049125,Prochlorperazine
00409771503,Mannitol 20%
00409158411,NS (Glass Bottle)
00008092355,Pantoprazole Sodium
00409131701,Phenytoin Sodium
00713016550,Acetaminophen
00409158302,NS (Glass Bottle)
00641255545,Phenytoin Sodium
00409302401,Nitroprusside Sodium
00641092825,Promethazine HCl
00409125830,Morphine Sulfate
00409117830,Meperidine
00045025501,Haloperidol
17714002001,DiphenhydrAMINE
00338050941,Gentamicin
00338355248,Vancomycin
00406055201,OxycoDONE (Immediate Release) 
00904399061,traZODONE HCl
00781526564,Ondansetron
58177000111,Potassium Chloride
00781526564,Ondansetron ODT
00085124402,*NF* Temozolomide
00085125902,*NF* Temozolomide
00338004903,NS
58177000111,Potassium Chloride Replacement (Oncology)
58177000111,Melatonin
10939033733,Fish Oil (Omega 3)
00245008201,Multivitamins
00245008201,Melatonin
00074781124,Metronidazole
00007313705,Cefazolin
00045006801,Levofloxacin
00002821501,Humulin-R Insulin
00338070341,Potassium Chloride
00074915801,Phytonadione
00074180001,Phenylephrine HCl
00074663722,Sodium Bicarbonate
11098003002,Fentanyl Citrate
00008058107,Lorazepam
00074125901,Morphine Sulfate
00641037625,Diphenhydramine HCl
00145062805,Sarna Lotion
54569475100,Propofol (Generic)
54569407300,Propofol (Diprivan)
51079029920,Clonidine HCl
00168006015,Fluocinolone 0.025% Cream
00206845525,Piperacillin-Tazobactam Na
49502069703,Albuterol Neb Soln
49502068503,Ipratropium Bromide Neb
62584078833,Metoprolol
62584072533,Haloperidol
51079080220,Metoprolol
51079075920,Atenolol
00091371501,Moexipril HCl
51079028320,Metoclopramide
00071015623,Atorvastatin
17714001110,Aspirin EC
59772704602,Captopril
00074258702,Midazolam HCl
58177032304,Nitroglycerin SL
00004692506,Ketorolac
00074379501,Ketorolac
00088171249,Sucralfate
00054465025,Oxycodone-Acetaminophen
00074176201,Morphine Sulfate
00054354563,Meperidine
00074148402,Nitroglycerin
00074372301,Neostigmine
00517460125,Glycopyrrolate
51079033530,Docusate Sodium (Liquid)
00173038354,Ranitidine
51079000522,Aspirin
00074610204,Furosemide
00121043130,Milk of Magnesia
00087606005,Metformin
00054829725,Furosemide
51079028120,Ibuprofen
00904770418,Aspirin EC
00904404073,Aspirin
00904526161,Ranitidine
00121075210,Ranitidine
00121054410,Docusate Sodium (Liquid)
00074490234,Dextrose 50%
00338011704,LR
10019016312,Phenylephrine HCl
00338355248,Vancomycin HCl
00002821501,Insulin Human Regular
55390048101,Ketorolac
55390048001,Ketorolac
00310030011,Propofol
51079025520,Metoprolol
00173017755,BuPROPion
00245010450,Bisacodyl
66689036430,Milk of Magnesia
51079000220,Acetaminophen
10019001617,Glycopyrrolate
62174057751,Neostigmine
00074117830,Meperidine
51079087101,Sucralfate
00074241512,Hydromorphone
00591083960,BuPROPion (Sustained Release)
54569189502,Bisacodyl
00054839424,Hydromorphone
17314931102,Neutra-Phos
57664027408,Clonazepam
51079041720,Lorazepam
00310075590,Rosuvastatin Calcium
00074198530,Lorazepam
51079042820,traZODONE HCl
00456201063,Escitalopram Oxalate
00310027539,Quetiapine Fumarate
00904794160,Nortriptyline
00067033062,Aluminum-Magnesium Hydrox.-Simethicone
51079001420,Thiamine HCl
51079004120,Folic Acid
00006353750,Famotidine
00574703412,Aspirin
00002411260,Olanzapine
66553000401,Calcium Carbonate
51079039620,Acetaminophen
10432017002,Vitamin D
00006494300,Pneumococcal Vac Polyvalent
00186109039,Metoprolol XL
00074724803,Hespan
00078035806,Diovan
00007313505,Cefazolin
00054865024,Oxycodone-Acetaminophen
51079036430,Milk of Magnesia
51079047821,Oxazepam
51079081020,Glipizide
54569536200,Diovan
00173034447,Ranitidine
00074125801,Morphine Sulfate
00074663734,Sodium Bicarbonate
00517571025,Furosemide
00087057007,Acetylcysteine 20%
00338001704,D5W
00004014301,Calcitriol
00517293025,Sodium Chloride 
00074665106,Potassium Chloride
00074797308,Sterile Water
00006361932,Chlorothiazide Sodium
00074491134,Atropine Sulfate
00641040025,Heparin Flush CRRT (5000 Units/mL)
00131422009,Polysaccharide Iron Complex
63653117103,Clopidogrel Bisulfate
00049491041,Sertraline HCl
00071015823,Atorvastatin
54162060002,Eucerin
59676030401,Epoetin Alfa
50111032703,HydrALAZINE HCl
00085330601,Isosorbide Mononitrate (Extended Release)
00182055589,HydrALAZINE HCl
00085411001,Isosorbide Mononitrate (Extended Release)
00056017675,Warfarin
55390005710,Amiodarone HCl
00264751020,D5W (EXCEL BAG)
53014097572,Metolazone
00409792337,D5W
51079090601,Amiodarone HCl
49884079374,Captopril
00713010113,Glycerin Supps
00024540134,Zolpidem Tartrate
00310013039,Lisinopril
59762501801,Fluconazole
00006074928,Simvastatin
00338055318,NS (Mini Bag Plus)
00074455211,Levothyroxine Sodium
00310032520,Meropenem
00548590000,Cosyntropin
00006004368,Phytonadione
58016066890,Sertraline
63739002401,Aspirin
00074518211,Levothyroxine Sodium
00703115303,Norepinephrine
00088110749,Fexofenadine
00002735501,Vancomycin Oral Liquid
00009514001,Linezolid
66591018442,Multivitamin IV
00338114403,Amino Acids 4.25% W/ Dextrose 5%
00075245101,Desmopressin Acetate
55390088010,Levothyroxine Sodium
61570042001,Vasopressin
00338004931,NS
63323022905,Protamine Sulfate
00074606211,Morphine Sulfate
00071036940,Phenytoin
00054817525,Dexamethasone
00409198530,Lorazepam
00172376010,Lisinopril
51079025520,Metoprolol Tartrate
51079045620,Simvastatin
51079045120,Amlodipine
50474059540,LeVETiracetam
00904224461,Docusate Sodium
00338004904,0.9% Sodium Chloride
00536338101,Bisacodyl
00574705050,Bisacodyl
00904516561,Senna
00517090125,HydrALAzine
60258000601,Neutra-Phos
61553008348,Calcium Gluconate
00409672924,Magnesium Sulfate
00045006601,Levofloxacin
24477003025,NiCARdipine IV
00338004902,0.9% Sodium Chloride
00338001702,5% Dextrose
58177020211,Potassium Chloride
63323026201,Heparin
00054817625,Dexamethasone
00074490334,Lidocaine
00074793124,Lidocaine
63323023861,Cefazolin
10019001654,Glycopyrrolate
00310030050,Propofol
00074380711,Terazosin HCl
00071015640,Atorvastatin
00245006101,Ferrous Gluconate
10019003867,Fentanyl Citrate
00003045051,Captopril
61379012005,Tirofiban
51079028520,Diazepam
51079068420,Atenolol
00045006701,Levofloxacin
00074665305,Potassium Chloride
00085113601,Eptifibatide
00173041200,Ceftazidime
00071015723,Atorvastatin
00165002241,Magnesium Oxide
00074491023,Atropine Sulfate
00054829925,Furosemide
00054812025,Calcium Carbonate
00069580043,Dofetilide
51079095220,Enalapril Maleate
00186109005,Metoprolol XL
51079010320,Spironolactone
00173024256,Digoxin
51079095120,Enalapril Maleate
00781155613,Isosorbide Dinitrate
00186108805,Metoprolol XL
00074132305,Lidocaine
00597006661,Mexiletine HCl
00074706811,Levothyroxine Sodium
59930156001,Albuterol
00517460525,Glycopyrrolate
00074724101,Epinephrine
00713016512,Acetaminophen
00378001801,Metoprolol
00039022110,Amaryl
00597005801,Tamsulosin HCl
00003517806,Pravastatin
00173069502,Fluticasone-Salmeterol (100/50)
00008418806,Amiodarone HCl
00641047725,Phenobarbital Sodium
00074377805,Pentobarbital Sodium
00074377804,Pentobarbital Sodium
00300304613,Lansoprazole
54868277600,Phenytoin (Suspension)
00074234301,Phenobarbital
00173099501,Acyclovir
00008058113,Lorazepam
00338001738,D5W
00009337501,Clindamycin
54569532200,Doxycycline Hyclate
00065041435,Lacri-Lube Oint
50474059240,Levetiracetam
00054848616,Lactulose
00074568216,Valproic Acid
00074156410,Valproate Sodium
00597001314,Albuterol-Ipratropium
00074567102,Hydrocortisone Na Succ.
00555099702,Fludrocortisone Acetate
00052073112,Cosyntropin
00004200278,Ceftriaxone
00173052000,Salmeterol Xinafoate Diskus (50 mcg)
00173049400,Fluticasone Propionate 110mcg
00071015540,Atorvastatin
00023917705,Brimonidine Tartrate 0.15% Ophth.
00517570425,Furosemide
00074662411,Levothyroxine Sodium
00409148402,Nitroglycerin
00409662502,Sodium Bicarbonate
64253033335,Heparin Flush PICC (100 units/ml)
00517090125,HydrALAZINE HCl
10019025112,Atropine Sulfate
61553011841,Fentanyl Citrate
61553019648,Midazolam
00338004304,0.45% Sodium Chloride
54569523500,Chlorhexidine Gluconate 0.12% Oral Rinse
60505056802,Dorzolamide 2%/Timolol 0.5% Ophth.
33332001001,Influenza Virus Vaccine
00006473900,Pneumococcal Vac Polyvalent
00071015740,Atorvastatin
00264310311,CefazoLIN
00406717162,TraMADOL (Ultram)
00143989701,Cephalexin
51079090620,Amiodarone
51079007220,Furosemide
00172375810,Lisinopril
00087606005,MetFORMIN (Glucophage)
00703450204,Metoclopramide
00409176230,Morphine Sulfate
00074929613,Levothyroxine Sodium
00409490234,Dextrose 50%
00121475210,Ranitidine
00409180001,Phenylephrine
10019016312,Phenylephrine
63304094110,CefazoLIN
00121065721,Acetaminophen
00487950125,Albuterol 0.083% Neb Soln
10019011501,Esmolol
10019005561,Esmolol
00904504561,Captopril
55289061401,GlyBURIDE
10019002803,Midazolam
17270072101,Albuterol
55390046001,AcetaZOLamide Sodium
00338001710,D5W
00487980125,Ipratropium Bromide Neb
00173071900,Fluticasone Propionate 110mcg
51079090601,Amiodarone
10019003783,Fentanyl Citrate
10019002710,Midazolam
00300154430,Lansoprazole Oral Disintegrating Tab
00074438220,Cisatracurium Besylate
59310017780,Qvar
52769045050,Albumin 5% (25 g)
00409663734,Sodium Bicarbonate
00703095603,Ciprofloxacin IV
00007440701,Argatroban
00409724101,Epinephrine
00121054410,Docusate Sodium
00409163802,Dexmedetomidine HCl
52959067430,Bisacodyl
37205014472,Ascorbic Acid
51079004120,FoLIC Acid
00731040106,Zinc Sulfate
37205036174,Nicotine Patch
60505251903,Citalopram Hydrobromide
00172531210,Ciprofloxacin HCl
51079073320,Haloperidol
00121174410,Guaifenesin
54868410300,Gentamicin Sulfate
00245005301,Ferrous Sulfate
00074233411,HYDROmorphone (Dilaudid)
00182050789,FoLIC Acid
49502069724,Albuterol 0.083% Neb Soln
00093521193,Omeprazole
00555077002,Finasteride
00338004903,0.9% Sodium Chloride
00338004938,0.9% Sodium Chloride
00409779362,Heparin Sodium
55390076210,Etomidate
00597008717,Ipratropium Bromide MDI
59310057920,Albuterol Inhaler
10019002804,Midazolam
00409662902,Succinylcholine
00008092355,Pantoprazole
00338500241,CeftriaXONE
00409121201,Naloxone
37205036374,Nicotine Patch
00456066270,Potassium Chloride (Powder)
00409729501,Potassium Phosphate
00406055262,OxycoDONE (Immediate Release) 
00093730165,Ondansetron ODT
51079096620,Famotidine
63653117103,Clopidogrel
00009454401,Tolterodine
00172474110,Citalopram Hydrobromide
00006007228,Finasteride
58177022211,Isosorbide Mononitrate (Extended Release)
00591564301,Minoxidil
00009454101,Tolterodine
00766145010,Nicotine Patch
51079038620,Lorazepam
63323016101,Ketorolac
51079051920,ChlorproMAZINE
00641139735,ChlorproMAZINE
00904174861,Ibuprofen
00173024956,Digoxin
00310013239,Lisinopril
00007414020,Carvedilol
00049275041,Doxazosin
00074779362,Heparin Sodium
00025540134,Zolpidem Tartrate
00006336603,Timolol Maleate 0.25%
00049276041,Doxazosin
00456402063,Citalopram Hydrobromide
00074636902,Erythromycin
00074662502,Sodium Bicarbonate
00409144304,Norepinephrine
00008081401,Amiodarone HCl
00034180080,Senna
55390046001,AcetaZOLAMIDE Sodium
00536242558,Phenaseptic Throat Spray
58177003106,Pangestyme-EC
55390003710,Vecuronium Bromide
00074317801,Lidocaine 1%/Epinephrine 1:100000
00186103001,Bupivacaine 0.25%
00054864816,Oxycodone-Acetaminophen Elixir
10019002803,Midazolam HCl
63323016501,Dexamethasone
00456261390,Diltiazem Extended-Release
00338080304,Potassium Chl 20 mEq / 1000 mL D5NS
66591091332,Oxycodone Liquid
55390010901,Clindamycin
00641276543,Sulfameth/Trimethoprim
00054814622,Clotrimazole
00310030022,Propofol
00300304611,Lansoprazole
51079074520,Diltiazem
00023050601,Artificial Tears
00054817925,Dexamethasone
51079074620,Diltiazem
66553000801,Sodium Bicarbonate
58914011110,Viokase 8
00904272561,Sulfameth/Trimethoprim DS
49502068524,Ipratropium Bromide Neb
00004200278,CefTRIAXone
00182402889,Ferrous Sulfate
00121053005,Ferrous Sulfate
00121053005,Ferrous Sulfate (Liquid)
16837085839,Simethicone
00007414120,Carvedilol
00487980130,Ipratropium Bromide Neb
00173049800,Fluticasone Propionate 110mcg
00071036240,Phenytoin
00409665305,Potassium Chloride
00409127332,Diazepam
00409131230,Hydromorphone
00132010915,Fleet Phospho-Soda
00641037625,DiphenhydrAMINE HCl
17714002001,DiphenhydrAMINE HCl
00007336721,Prochlorperazine
00338008904,D5NS
00074233411,Hydromorphone
00338004902,NS Epidural Bag (0.9% NaCl)
00409116202,Bupivacaine 0.5%
00395421010,Magnesium Citrate
59011010325,Oxycodone (Sustained Release)
00006096328,Famotidine
00089130130,Nitroglycerin Patch
00186001628,Atacand
51079020620,Allopurinol
00364071605,Procainamide SR
00172234560,Procainamide HCl
00074228831,Ketorolac
00186021003,Lidocaine 1%
00487950125,Albuterol Neb Soln
00056017375,Warfarin
00015740520,Ampicillin Sodium
51079032220,Propoxyphene Nap.-Apap (N-100)
00006073528,Simvastatin
63323001302,Thiamine HCl
51079041820,Temazepam
00409781124,MetRONIDAZOLE (FLagyl)
51079079001,Alprazolam
00409131701,Phenytoin
66591018442,Multivitamins
50474059440,Levetiracetam
00409915801,Phytonadione
00338101948,Nafcillin
00182004789,Thiamine HCl
00074241512,HYDROmorphone (Dilaudid)
00074241612,HYDROmorphone (Dilaudid)
51079098020,Spironolactone
51479005420,CefePIME
52769025105,Albumin 25% (12.5 g)
44206025110,"Albumin, Human"
55390016110,Octreotide Acetate
54092000301,Midodrine
00075062280,Enoxaparin Sodium
00087607005,Metformin
00409491134,Atropine Sulfate
51674000901,Acetaminophen-Caff-Butalbital
00310013110,Lisinopril
54868439600,Carvedilol
00338005403,Sodium Chloride 3% (Hypertonic)
00054881611,Sodium Polystyrene Sulfonate
00002202402,Sodium Chloride
00054375150,Morphine Sulfate (Concentrated Oral Soln)
00074126102,Morphine Sulfate
00067434504,Scopolamine Patch
52959036100,Sertraline
68084006501,Nephrocaps
00264751010,D5W (Excel)
00015301238,Carmustine
54569482400,Filgrastim
00338917791,Glutamine
00126008802,Prevident Mint Gel 1.1%
00026851348,Ciprofloxacin HCl
11098001001,Droperidol
00173044202,Ondansetron
10019002805,Midazolam HCl
00074115170,HEPARIN
00074792337,D5W
00469305130,Ambisome
00310032130,Meropenem
00364049590,Hydroxyzine HCl
17314940002,Clotrimazole
50962025160,Nystatin Oral Suspension
50962080060,Chlorhexidine Gluconate
52544093001,Ursodiol
67919001101,Daptomycin
00168000315,Triamcinolone Acetonide 0.025% Cream
64253033335,Heparin Flush Hickman (100 units/ml)
00054865724,Oxycodone
00009011312,Methylprednisolone Na Succ
00009082501,Hydrocortisone Na Succ.
00074323601,Parenteral Nutrition (TPN)
00074729501,Potassium Phosphate
59930156001,Albuterol Inhaler
63323087715,Pentamidine Inhalation
00088120632,Dolasetron Mesylate
00121073312,Aluminum Hydroxide Suspension
00088120329,Dolasetron Mesylate
00015309520,Etoposide
55390013110,Cytarabine
00067094915,Miconazole Powder 2%
63323031461,Vancomycin HCl
59572030101,Melphalan HCl
51479005520,Cefepime
61703041463,Fluconazole
10356009004,Eucerin
51479004210,Aztreonam
50242004413,Alteplase (Catheter Clearance)
00002821501,Insulin
00009090020,Hydrocortisone Na Succ.
00074739172,Sodium Phosphate
00173054700,Atovaquone Suspension
00074131202,Hydromorphone
00006351659,Imipenem-Cilastatin
61703022321,Morphine Sulfate
61703022521,Morphine Sulfate
00006382210,Caspofungin
00054872425,Prednisone
51079052220,Doxycycline Hyclate
00004694003,Ganciclovir
00517260225,Magnesium Sulfate Replacement (Oncology)
62701080001,*NF* Pentostatin
00015054841,Cyclophosphamide
00548301100,Lidocaine Jelly 2% (Urojet)
57480043401,Oxybutynin
61703041464,Fluconazole
00173041300,Ceftazidime
00024156210,Hydroxychloroquine Sulfate
00004200378,Ceftriaxone
00641149535,Promethazine HCl
00008029501,Hydromorphone
00069306086,Azithromycin
00065065625,Ciprofloxacin Ophth Soln
00015710328,Oxacillin
00338050741,Gentamicin
00024115510,Lorazepam
00054855424,Methadone HCl
51079011620,Ferrous Sulfate
51079028220,Ibuprofen
51079079320,Naproxen
15127020017,Calcium Carbonate
00067033022,Aluminum-Magnesium Hydroxide
51079000620,Bisacodyl
00182125989,traZODONE HCl
00536119001,Dicloxacillin
00338001602,D5W (GLASS BOTTLE)
00074131201,Hydromorphone
00054839224,Hydromorphone
63323038810,NEO*IV*AMPicillin Sodium
58468002001,Sevelamer
58468002101,Sevelamer
00009361702,Cefpodoxime Proxetil
00069308030,Azithromycin
00597000302,Tipranavir
00074663322,Ritonavir
00173066200,Lamivudine
00173010856,Zidovudine
51079043520,Megestrol Acetate
00074336811,Clarithromycin
68850001202,Ethambutol HCl
00013530117,Rifabutin
51479004115,Aztreonam
00074724101,Epinephrine 1:1000
55045122403,Bactrim Desensitization
00904518661,Ibuprofen
51655007924,HydrOXYzine HCl
00003196401,Stavudine
61958060101,Emtricitabine
10019051002,Diltiazem
49884002901,HydrALAZINE HCl
51079043420,Megestrol Acetate
50458022115,Ketoconazole 2% 
00802396216,Bicitra
49884090738,mege
00121063810,Guaifenesin-Dextromethorphan
00338002304,D12.5W
00517501901,Sodium Thiosulfate
63323004401,Cyanocobalamin
00338067504,Potassium Chl 40 mEq / 1000 mL D5 1/2 NS
00517180525,DopAmine
00074115170,Heparin (Preservative Free)
00039001910,NEO*IV*Cefotaxime
11098003002,NEO*IV*Fentanyl
17478006235,Artificial Tear Ointment
00071015523,Atorvastatin
51079081020,GlipiZIDE
00228206710,Oxazepam
00517101025,Atropine Sulfate
00074007402,Colchicine
63323018410,Folic Acid
00338040360,Multivitamins
00006353750,Famotidine (IV)
55499120401,Multivitamins
51079030020,Clonidine HCl
00074127332,Diazepam
00074121201,Naloxone HCl
00054855324,Methadone HCl
00766146010,Nicotine
49938010101,Dapsone
00074697805,Hydrochlorothiazide
00777310533,Fluoxetine HCl
66479056012,Morphine Sulfate (Concentrated Oral Soln)
58177025504,Hyoscyamine
00049490041,Sertraline HCl
53014085072,Metolazone
54569336000,Nitroglycerin Oint. 2%
00029152725,Mupirocin Cream 2%
51079060520,Cephalexin
00054830125,Furosemide
00007413920,Carvedilol
51079006720,Diphenoxylate-Atropine
00409117630,Meperidine
59762306003,Azithromycin
00054815624,Codeine Sulfate
60505068104,CefePIME
00338055318,0.9% Sodium Chloride (Mini Bag Plus)
58177009111,Benzonatate
51079052420,Ondansetron
11523726808,Polyethylene Glycol
00597018590,pramipexole
51079029420,Tamsulosin
55390034810,Metoprolol Tartrate
00904777261,Metoprolol Tartrate
00904399061,traZODONE
08290036005,Heparin Flush (10 units/ml)
00054001820,PredniSONE
00002411533,Olanzapine
00904555960,PrimiDONE
00009000402,Mirapex
51079028420,Diazepam
00409180001,Phenylephrine HCl
00264934155,Starter PN D10
64253033335,Heparin Flush
00087601142,NEO*IV*Caffeine Citrate
63323006661,Sodium Acetate
00087611142,NEO*PO*Caffeine Citrate
00182138167,NEO*PO*Ferrous Sulfate Elixir
60258011130,NEO*PO*Vitamin E Drops
41679036513,NEO*PO*MCT Oil
00998061505,Dexamethasone Ophthalmic Soln 0.1%
56184012105,NEO*NASAL*Phenylephrine 0.125%
11980017405,Prednisolone Acetate 0.12% Ophth. Susp.
00206882002,Piperacillin-Tazobactam
60574411301,NEO*IM*Palivizumab
00074567102,NEO*IV*Hydrocortisone Sod Succinate
00517180525,Dopamine HCl
72140003147,NEO*Aquaphor
62991150902,NEO*IV*Caffeine Citrate
00469760040,Potassium Acetate
00517209625,Sodium Acetate
00186580030,NEO*PO*Vitamin E Drops
00186580030,NEOMYCIN_POLYMYXIN_BACITRACIN
00597006111,NEO*PO*Caffeine Citrate
00087036503,NEO*PO*Mct Oil
00054829816,Furosemide (Elixir)
49281054505,NEO*IM*Haemophilus B  Conj Vac
00005197067,NEO*IM*Pneumococcal 7-Valent
49281028605,NEO*IM*DT  & Acellular Pertussis
49281086052,NEO*SC*Polio Vaccine (Inactive)
54569317800,NEO*PO*Acetaminophen Drops
66591023921,Vitamin A
00074660902,Sodium Bicarbonate 4.2% (2.4mEq)
00006340617,NEO*IV*Indomethacin Sodium
00006340617,Indomethacin Sodium
63323022110,NEO*IV*Vancomycin
00121046230,Mineral Oil
64253022233,Heparin Sodium (Preservative Free)
74300000068,Desitin
00002726601,NEO*IV*Cefazolin
54569281400,Acetaminophen (Liquid)
66591080030,NEO*PO*Vitamin E Drops
00087036503,NEO*PO*MCT Oil
00074665106,POTassium Chloride
00006361932,NEO*PO*Chlorothiazide
49281029810,NEO*IM*DT  & Acellular Pertussis
00006487600,NEO*IM*Hepatitis B Vaccine
58160084111,DTaP-HepB-IPV Combined
00074010304,Vi-Daylin Multivitamin Drops
10939086311,Vi-Daylin Multivitamin Drops
00264934155,Starter PN D5
00074104004,Beractant
00409121201,Naloxone HCl
10019002710,Midazolam HCl
00071201223,Gabapentin
54092000401,Midodrine HCl
00338101102,DopAmine
00781711255,Fentanyl Patch
00409317701,Lidocaine 0.5%/Epinephrine
10019063002,Ampicillin-Sulbactam
50580060150,Ibuprofen Suspension
00052010590,Mirtazapine
54092000301,Midodrine HCl
00075770060,Rilutek
00071080640,Gabapentin
63481068706,Lidocaine 5% Patch
00781711355,Fentanyl Patch
00071080340,Gabapentin
24208032405,Timolol Maleate 0.5%
00013830304,Latanoprost 0.005% Ophth. Soln.
00904792260,Phenazopyridine HCl
00641240341,Fentanyl Citrate
00075062040,Enoxaparin Sodium
00052044115,Vecuronium Bromide
00074427601,Lidocaine 1%
00074245327,Hydromorphone-HP
00026855463,Ciprofloxacin
55390046001,Acetazolamide Sodium
00026851248,Ciprofloxacin HCl
00054834525,Haloperidol
00085075604,Oxymetazoline HCl
00054874325,Pseudoephedrine HCl
00065079515,Balanced Salt Opth. Soln
00049001483,Unasyn
00075062300,Enoxaparin Sodium
00067033062,Aluminum-Magnesium Hydroxide
00007336203,Prochlorperazine
00003515405,Pravastatin
00026886148,Nifedipine CR
00378910493,Nitroglycerin Patch
00378002801,Nadolol
00689112201,Levothyroxine Sodium
00048105013,Levothyroxine Sodium
00048107013,Levothyroxine Sodium
00087040203,NEO*PO*Poly-VI-solution
74300000068,Neo*Desitin Creamy
00074110202,Codeine Phosphate
00766145010,Nicotine
00074771503,Mannitol 20%
51079012620,MetRONIDAZOLE (FLagyl)
00338101102,DOPamine
00029609039,Augmentin Suspension
00071400810,Fosphenytoin Sodium
00182845389,Acetaminophen
00409126130,Morphine Sulfate
54092024701,Lanthanum
46287000660,Sodium Polystyrene Sulfonate
58468012601,Doxercalciferol
00168001231,Neomycin-Polymyxin-Bacitracin
63323026920,Propofol
63323026965,Propofol
55390020910,MethylPREDNISolone Sodium Succ
63323054011,Heparin Flush (1000 units/mL)
59676030301,Epoetin Alfa
58468013001,sevelamer CARBONATE
55513007330,Cinacalcet
51079045820,Pravastatin
54162055007,Sarna Lotion
11509021265,Cepacol (Menthol)
00054008826,Calcium Acetate
68462014645,Nitroglycerin SL
00054327099,Fluticasone Propionate NASAL
33332001101,Influenza Virus Vaccine
51079020520,Allopurinol
00186109039,Metoprolol Succinate XL
00182864389,Simethicone
00186109239,Metoprolol Succinate XL
00121176130,Aluminum-Magnesium Hydrox.-Simethicone
68084018601,Pravastatin
00031067364,Vitamin B Complex w/C
50242004413,Alteplase
00256018501,Nephrocaps
00574200202,Sodium Polystyrene Sulfonate
00172438210,Gabapentin
00182055589,HydrALAzine
00172436560,Labetalol
00085172202,NIFEdipine CR
00591319301,NIFEdipine CR
00054839224,HYDROmorphone (Dilaudid)
00182055489,HydrALAzine
00054873925,PredniSONE
00078048535,Aliskiren
50474000263,LeVETiracetam
00409128331,HYDROmorphone (Dilaudid)
63323061401,HydrALAzine
00338500341,CeftriaXONE
00009011319,MethylPREDNISolone Sodium Succ
00781711155,Fentanyl Patch
51079054120,Prochlorperazine
