DRUG,atc4
*nf* adefovir (hepsera),A10AD
adefovir dipivoxil,A10AD
insulin regular human,A10AD
mestinon sr,A10AD
insulin human regular (dilute),A10AD
pimecrolimus,A10AD
hydromorphone,A10AD
fenofibrate,A10AD
novolog,A10AD
acetaminophen (liquid),A10AD
brimonidine,A10AD
humulin-r insulin,A10AE
insulin human regular,A10AE
insulin,A10AE
neo*iv*insulin (dilute),A10AE
urecholine,A10AE
regular insulin,A10AE
revlimid,A10AE
humulin r,A10AE
zz ,A10AE
insulin pump,A10AE
*nf* adefovir (hepsera),A10AE
adefovir dipivoxil,A10AE
insulin regular human,A10AE
mestinon sr,A10AE
insulin human regular (dilute),A10AE
pimecrolimus,A10AE
hydromorphone,A10AE
fenofibrate,A10AE
novolog,A10AE
acetaminophen (liquid),A10AE
brimonidine,A10AE
insulin pump (self administering medication),A10AE
humulin-r insulin,A10AF
insulin human regular,A10AF
insulin,A10AF
neo*iv*insulin (dilute),A10AF
urecholine,A10AF
regular insulin,A10AF
revlimid,A10AF
humulin r,A10AF
zz ,A10AF
insulin pump,A10AF
*nf* adefovir (hepsera),A10AF
adefovir dipivoxil,A10AF
insulin regular human,A10AF
mestinon sr,A10AF
insulin human regular (dilute),A10AF
pimecrolimus,A10AF
hydromorphone,A10AF
fenofibrate,A10AF
novolog,A10AF
acetaminophen (liquid),A10AF
brimonidine,A10AF
insulin pump (self administering medication),A10AF
insulin regular human (u-500),A10AB
humulin-r insulin (u-500),A10AB
insulin regular human (u-500),A10AC
humulin-r insulin (u-500),A10AC
insulin regular human (u-500),A10AD
humulin-r insulin (u-500),A10AD
insulin regular human (u-500),A10AE
humulin-r insulin (u-500),A10AE
insulin regular human (u-500),A10AF
humulin-r insulin (u-500),A10AF
humulin 70/30,A10AB
insulin human 70/30,A10AB
humulin,A10AB
nph insulin human recomb,A10AB
humulin 70/30,A10AC
insulin human 70/30,A10AC
humulin,A10AC
nph insulin human recomb,A10AC
humulin 70/30,A10AD
insulin human 70/30,A10AD
humulin,A10AD
nph insulin human recomb,A10AD
humulin 70/30,A10AE
insulin human 70/30,A10AE
humulin,A10AE
insulin ,A10AE
nph insulin human recomb,A10AE
humulin 70/30,A10AF
insulin human 70/30,A10AF
humulin,A10AF
insulin ,A10AF
nph insulin human recomb,A10AF
triamcinolone acetonide,A01AC
triamcinolone acetonide inj,A01AC
triamcinolone acetonide,C05AA
triamcinolone acetonide inj,C05AA
triamcinolone acetonide,D07AB
triamcinolone acetonide inj,D07AB
triamcinolone acetonide,D07XB
triamcinolone acetonide inj,D07XB
triamcinolone acetonide,H02AB
triamcinolone acetonide inj,H02AB
triamcinolone acetonide,R01AD
triamcinolone acetonide inj,R01AD
triamcinolone acetonide,R03BA
triamcinolone acetonide inj,R03BA
triamcinolone acetonide,S01BA
triamcinolone acetonide inj,S01BA
dasatinib,L01XE
hydroxyurea,L01XX
*nf* dasatinib,L01XE
entecavir,J05AF
entecavir oral solution,J05AF
stavudine,J05AF
*nf* abatacept,L04AA
aztreonam,J01DF
aztreonam  desensitization ,J01DF
atazanavir,J05AE
valganciclovir hcl,J05AB
valganciclovir hcl suspension,J05AB
valganciclovir,J05AB
valganciclovir suspension,J05AB
valganciclovir ,J05AB
valgan,J05AB
valganciclovir (self med),J05AB
valganciclov,J05AB
valganci,J05AB
valganciclovi,J05AB
valgancic,J05AB
valganciclo,J05AB
val,J05AB
valganciclovir oral solution,J05AB
valganc,J05AB
valgancicl,J05AB
saquinavir (invirase) cap,J05AE
pegasys,L03AB
peginterferon alfa-2a,L03AB
oseltamivir,J05AH
oseltamivir phosphate,J05AH
tamiflu,J05AH
oselt,J05AH
oseltam,J05AH
*nf* capecitabine,L01BC
ivermectin,D11AX
*nf* ivermectin,D11AX
ivermectin,P02CF
*nf* ivermectin,P02CF
finasteride,D11AX
propecia,D11AX
finasteride,G04CB
propecia,G04CB
raltegravir,J05AX
raltegravir 400mg tablet,J05AX
januvia,A10BH
lutein,A10BH
sitagliptin,A10BH
aprepitant,A04AD
indinavir sulfate,J05AE
imipenem-cilastatin,J01DH
imipenem-cilastatin *nf*,J01DH
dorzolamide 2% ophth. soln.,S01EC
caspofungin,J02AX
caspofungin acetate,J02AX
*nf* caspofungin acetate,J02AX
caspofungin *nf*,J02AX
caspofungin desensitization,J02AX
*nf* ertapenem sodium,J01DH
carvedilol,C07AG
nelarabine (nf),L01BB
argatroban,B01AE
ropinirole hcl,N04BC
ropinirole,N04BC
requip,N04BC
avodart,N04BC
ropinirole hydrochloride,N04BC
venlafaxine xr,N06AX
venlafaxine,N06AX
avodart,N06AX
effexor xr,N06AX
cartia xt,N06AX
januvia,N06AX
venlafax,N06AX
venlafaxi,N06AX
pantoprazole sodium,A02BC
pantoprazole,A02BC
tizanidine,A02BC
calcium gluconate,A02BC
phenylephrine hcl,A02BC
lidocaine 1% (w/presv.),A02BC
heparin,A02BC
epinephrine,A02BC
potassium chloride,A02BC
midazolam,A02BC
ketorolac tromethamine,A02BC
sodium bicarbonate,A02BC
travatan z,A02BC
dulera (mometasone-formoterol) 200-5mcg/actuation,A02BC
advair hfa,A02BC
sirolimus,L04AA
sirolimus,S01XA
insulin pump,L04AA
insulin pump (self administering medication),L04AA
insulin pump,S01XA
insulin pump (self administering medication),S01XA
temsirolimus,L01XE
gemtuzumab ozogamicin,L01XC
tigecycline,J01AA
hydrocortisone na succ.,A01AC
hydrocortisone na succ,A01AC
hydrocortisone,A01AC
levemir,A01AC
hydrocor,A01AC
synthroid,A01AC
cortef,A01AC
magnesium sulfate,A01AC
calcium gluconate,A01AC
hydrocortisone na succ.,A07EA
hydrocortisone na succ,A07EA
hydrocortisone,A07EA
levemir,A07EA
hydrocor,A07EA
synthroid,A07EA
cortef,A07EA
magnesium sulfate,A07EA
calcium gluconate,A07EA
hydrocortisone na succ.,C05AA
hydrocortisone na succ,C05AA
hydrocortisone,C05AA
levemir,C05AA
hydrocor,C05AA
synthroid,C05AA
cortef,C05AA
magnesium sulfate,C05AA
calcium gluconate,C05AA
hydrocortisone na succ.,D07AA
hydrocortisone na succ,D07AA
hydrocortisone,D07AA
levemir,D07AA
hydrocor,D07AA
synthroid,D07AA
cortef,D07AA
magnesium sulfate,D07AA
calcium gluconate,D07AA
hydrocortisone na succ.,D07XA
hydrocortisone na succ,D07XA
hydrocortisone,D07XA
levemir,D07XA
hydrocor,D07XA
synthroid,D07XA
cortef,D07XA
magnesium sulfate,D07XA
calcium gluconate,D07XA
hydrocortisone na succ.,H02AB
hydrocortisone na succ,H02AB
hydrocortisone,H02AB
levemir,H02AB
hydrocor,H02AB
synthroid,H02AB
cortef,H02AB
magnesium sulfate,H02AB
calcium gluconate,H02AB
hydrocortisone na succ.,S01BA
hydrocortisone na succ,S01BA
hydrocortisone,S01BA
levemir,S01BA
hydrocor,S01BA
synthroid,S01BA
cortef,S01BA
magnesium sulfate,S01BA
calcium gluconate,S01BA
hydrocortisone na succ.,S01CB
hydrocortisone na succ,S01CB
hydrocortisone,S01CB
levemir,S01CB
hydrocor,S01CB
synthroid,S01CB
cortef,S01CB
magnesium sulfate,S01CB
calcium gluconate,S01CB
hydrocortisone na succ.,S02BA
hydrocortisone na succ,S02BA
hydrocortisone,S02BA
levemir,S02BA
hydrocor,S02BA
synthroid,S02BA
cortef,S02BA
magnesium sulfate,S02BA
calcium gluconate,S02BA
methylprednisolone sod succ ,D07AA
methylprednisolone sod succ ,D10AA
methylprednisolone sod succ ,H02AB
medroxyprogesterone acetate,G03AC
provera,G03AC
medroxyprogesterone acetate,G03DA
provera,G03DA
medroxyprogesterone acetate,L02AB
provera,L02AB
methylprednisolone,D07AA
methylprednisolone,D10AA
methylprednisolone,H02AB
bacitracin,D06AX
bacitracin,J01XX
bacitracin,R02AB
colestid,C10AC
colestipol,C10AC
nascobal,C10AC
glyburide prestab,A10BB
glyburide,A10BB
testosterone cypionate,G03BA
colestipol hcl,C10AC
methylprednisolone na succ.,D07AA
methylprednisolone na succ,D07AA
methylprednisolone sodium succ,D07AA
methylprednisolone na succ.,D10AA
methylprednisolone na succ,D10AA
methylprednisolone sodium succ,D10AA
methylprednisolone na succ.,H02AB
methylprednisolone na succ,H02AB
methylprednisolone sodium succ,H02AB
clindamycin,D10AF
clindamycin solution,D10AF
clindamycin suspension,D10AF
calcium gluconate,D10AF
hydromorphone (dilaudid),D10AF
fentanyl citrate,D10AF
clindamycin,G01AA
clindamycin solution,G01AA
clindamycin suspension,G01AA
calcium gluconate,G01AA
hydromorphone (dilaudid),G01AA
fentanyl citrate,G01AA
clindamycin,J01FF
clindamycin solution,J01FF
clindamycin suspension,J01FF
calcium gluconate,J01FF
hydromorphone (dilaudid),J01FF
fentanyl citrate,J01FF
neo*iv*hydrocortisone (1mg/ml),A01AC
hydrocortisone na succinate,A01AC
hydrocortisone sod succinate,A01AC
hydrocortiso,A01AC
neo*iv*hydrocortisone (1mg/ml),A07EA
hydrocortisone na succinate,A07EA
hydrocortisone sod succinate,A07EA
hydrocortiso,A07EA
neo*iv*hydrocortisone (1mg/ml),C05AA
hydrocortisone na succinate,C05AA
hydrocortisone sod succinate,C05AA
hydrocortiso,C05AA
neo*iv*hydrocortisone (1mg/ml),D07AA
hydrocortisone na succinate,D07AA
hydrocortisone sod succinate,D07AA
hydrocortiso,D07AA
neo*iv*hydrocortisone (1mg/ml),D07XA
hydrocortisone na succinate,D07XA
hydrocortisone sod succinate,D07XA
hydrocortiso,D07XA
neo*iv*hydrocortisone (1mg/ml),H02AB
hydrocortisone na succinate,H02AB
hydrocortisone sod succinate,H02AB
hydrocortiso,H02AB
neo*iv*hydrocortisone (1mg/ml),S01BA
hydrocortisone na succinate,S01BA
hydrocortisone sod succinate,S01BA
hydrocortiso,S01BA
neo*iv*hydrocortisone (1mg/ml),S01CB
hydrocortisone na succinate,S01CB
hydrocortisone sod succinate,S01CB
hydrocortiso,S01CB
neo*iv*hydrocortisone (1mg/ml),S02BA
hydrocortisone na succinate,S02BA
hydrocortisone sod succinate,S02BA
hydrocortiso,S02BA
hemabate,G02AD
carboprost tromethamine,G02AD
methylprednisolone acetate,D07AA
methylprednisolone acetate,D10AA
methylprednisolone acetate,H02AB
clindamycin 1% solution,D10AF
clindamycin phosphate,D10AF
clindamycin 1% solution,G01AA
clindamycin phosphate,G01AA
clindamycin 1% solution,J01FF
clindamycin phosphate,J01FF
alprostadil,C01EA
alprostadil,G04BE
ibutilide fumarate,C01BD
tolterodine,G04BD
*nf* epirubicin,L01DB
linezolid,J01XX
imodium a-d *nf*,J01XX
acetic acid,J01XX
acetic acid glacial 0.04%,J01XX
insulin humalog 75/25 pen,J01XX
humalog mix 75-25,J01XX
linezolid suspension,J01XX
aromasin,L02BG
insulin pump,L02BG
exemestane,L02BG
sulfasalazine,A07EC
sulfazine ec,A07EC
sulfasalazine dr,A07EC
sulfasalazine ec,A07EC
tranexamic acid,B02AA
idarubicin hcl,L01DB
idarubicin,L01DB
rifabutin,J04AB
latanoprost 0.005% ophth. soln.,S01EE
latanoprost,S01EE
xal,S01EE
*nf brinzolamide (azopt),S01EE
timolol maleate 0.5% xe,S01EE
xalatan,S01EE
lumigan,S01EE
travatan z,S01EE
megestrol acetate,G03AC
megestrol oral soln,G03AC
megestrol acetate,G03DB
megestrol oral soln,G03DB
megestrol acetate,L02AB
megestrol oral soln,L02AB
artificial tear ointment,A06AA
albuterol inhaler,A06AA
white petrolatum-mineral oil,A06AA
midazolam,A06AA
fentanyl,A06AA
phenylephrine,A06AA
potassium chloride (powder),A06AA
potassium chloride,A06AA
ondansetron,A06AA
"lidocaine 1%/epi 1::100,000",A06AA
lactaid,A06AA
artificial ,A06AA
artif,A06AA
lacri-lube oint,A06AA
sulfacetamide-prednisolone ophth. oint.,D10AF
sulfacetamide-prednisolone ophth. oint.,S01AB
sulfacetamide-prednisolone ophth. oint.,A07EA
sulfacetamide-prednisolone ophth. oint.,C05AA
sulfacetamide-prednisolone ophth. oint.,D07AA
sulfacetamide-prednisolone ophth. oint.,D07XA
sulfacetamide-prednisolone ophth. oint.,H02AB
sulfacetamide-prednisolone ophth. oint.,R01AD
sulfacetamide-prednisolone ophth. oint.,S01BA
sulfacetamide-prednisolone ophth. oint.,S01CB
sulfacetamide-prednisolone ophth. oint.,S02BA
sulfacetamide-prednisolone ophth. oint.,S03BA
acular,M01AB
ketorolac tromethamine,M01AB
betimol,M01AB
*nf* timolol  hemihydrate (betimol),M01AB
acular ls,M01AB
ketorolac,M01AB
acular,S01BC
ketorolac tromethamine,S01BC
betimol,S01BC
*nf* timolol  hemihydrate (betimol),S01BC
acular ls,S01BC
ketorolac,S01BC
restasis,L04AD
restasis,S01XA
brimonidine tartrate 0.15% ophth.,D11AX
alphagan p,D11AX
brimonidine,D11AX
lumigan,D11AX
mupirocin,D11AX
lorazepam,D11AX
brimonidine tartrate 0.15% ophth.,S01EA
alphagan p,S01EA
brimonidine,S01EA
lumigan,S01EA
mupirocin,S01EA
lorazepam,S01EA
oxaliplatin,L01XA
oxaliplatin desensitization,L01XA
primaquine phosphate,P01BA
dronedarone,C01BD
*nf* rasburicase,V03AF
rasburicase,V03AF
misoprostol,A02BB
misoprostol,G02AD
celebrex,L01XX
celecoxib,L01XX
celebrex,M01AH
celecoxib,M01AH
eplerenone,C03DA
disopyramide cr,C01BA
disopyramide phosphate,C01BA
mupirocin nasal ointment 2%,D06AX
vancomycin for nasal inhalation,D06AX
vancomycin for inhalation,D06AX
mupirocin nasal ointment 2%,R01AX
vancomycin for nasal inhalation,R01AX
vancomycin for inhalation,R01AX
mupirocin cream 2%,D06AX
mupirocin 2% cream,D06AX
bactroban,D06AX
mupirocin,D06AX
mupirocin calcium,D06AX
mupirocin cream 2%,R01AX
mupirocin 2% cream,R01AX
bactroban,R01AX
mupirocin,R01AX
mupirocin calcium,R01AX
creon 12,A09AA
progesterone,G03DA
progesterone micronized,G03DA
felbatol,N03AX
felbamate,N03AX
penicillamine,M01CC
lamictal,M01CC
amaryl,A10BB
glimepiride,A10BB
estrogens conjugated,G03CA
unasyn,J01CR
potassium chloride,J01CR
unasyn,J01CG
potassium chloride,J01CG
unasyn,J01CA
potassium chloride,J01CA
unasyn,S01AA
potassium chloride,S01AA
ampicillin-sulbactam,J01CR
*nf* basiliximab,J01CR
ampicillin-sulbactam,J01CG
*nf* basiliximab,J01CG
ampicillin-sulbactam,J01CA
*nf* basiliximab,J01CA
ampicillin-sulbactam,S01AA
*nf* basiliximab,S01AA
ampicillin sodium/sulbactam,J01CR
ampicillin sodium/sulbactam,J01CG
ampicillin sodium/sulbactam,J01CA
ampicillin sodium/sulbactam,S01AA
penicillin g potassium,J01CE
penicillin g k desensitization,J01CE
neo*iv*penicillin g potassium,J01CE
penicillin g potassium,S01AA
penicillin g k desensitization,S01AA
neo*iv*penicillin g potassium,S01AA
doxazosin,C02CA
cardura,C02CA
voriconazole,J02AC
fluconazole,D01AC
neo*po*fluconazole,D01AC
fluconazole,J02AC
neo*po*fluconazole,J02AC
d5w,D01AC
mycophenolate mofetil,D01AC
syringe (iv room),D01AC
methylprednisolone na succ.,D01AC
d5w,J02AC
mycophenolate mofetil,J02AC
syringe (iv room),J02AC
methylprednisolone na succ.,J02AC
fluconazole suspension,D01AC
fluconazole suspension,J02AC
ziprasidone,N05AE
ziprasidone mesylate,N05AE
ziprasidone hydrochloride,N05AE
geodon,N05AE
ziprasidone hcl,N05AE
sertraline hcl,N06AB
rivastigmine,N06AB
*nf* timolol  hemihydrate (betimol),N06AB
b-50,N06AB
sertraline,N06AB
dronabinol,A04AD
mirtazapine,N06AX
remeron soltab,N06AX
rocuronium,M03AC
rocuro,M03AC
rocuronium bromide,M03AC
*nf* rocuronium bromide,M03AC
zemuron,M03AC
calcitriol,A11CC
calcitriol,D05AX
prednisone,A07EA
sprycel,A07EA
aralast,A07EA
prednisone,H02AB
sprycel,H02AB
aralast,H02AB
insulin pump,A07EA
imatinib,A07EA
insulin pump,H02AB
imatinib,H02AB
zyflo cr,A07EA
acetylcysteine,A07EA
symbicort,A07EA
zyflo cr,H02AB
acetylcysteine,H02AB
symbicort,H02AB
pletal,B01AC
cilostazol,B01AC
balsalazide,A07EC
balsa,A07EC
calcium acetate,V03AE
oxcarbazepine,N03AF
propofol,N03AF
ramipril,C09AA
buprenorphine,N02AE
phenylephrine,N02AE
propofol,N02AE
buprenorphine,N07BC
phenylephrine,N07BC
propofol,N07BC
famciclovir,J05AB
famc,J05AB
famciclovir,S01AD
famc,S01AD
levetiracetam oral solution,N03AX
levetiracetam,N03AX
levetiracetam solution,N03AX
propofol,N03AX
acetaminophen (liquid),N03AX
potassium chloride (powder),N03AX
morphine sulfate ir,N02AA
morphine,N02AA
morphine sulfate,N02AA
morphine sulfate (immediate release),N02AA
sunitinib,N02AA
dexamethasone,A01AC
dexamethasone intensol,A01AC
dexamethasone,C05AA
dexamethasone intensol,C05AA
dexamethasone,D07AB
dexamethasone intensol,D07AB
dexamethasone,D07XB
dexamethasone intensol,D07XB
dexamethasone,D10AA
dexamethasone intensol,D10AA
dexamethasone,H02AB
dexamethasone intensol,H02AB
dexamethasone,R01AD
dexamethasone intensol,R01AD
dexamethasone,S01BA
dexamethasone intensol,S01BA
dexamethasone,S01CB
dexamethasone intensol,S01CB
dexamethasone,S02BA
dexamethasone intensol,S02BA
dexamethasone,S03BA
dexamethasone intensol,S03BA
dexamethasone oral soln (0.1mg/1ml),A01AC
dexamethasone oral soln (0.1mg/1ml),C05AA
dexamethasone oral soln (0.1mg/1ml),D07AB
dexamethasone oral soln (0.1mg/1ml),D07XB
dexamethasone oral soln (0.1mg/1ml),D10AA
dexamethasone oral soln (0.1mg/1ml),H02AB
dexamethasone oral soln (0.1mg/1ml),R01AD
dexamethasone oral soln (0.1mg/1ml),S01BA
dexamethasone oral soln (0.1mg/1ml),S01CB
dexamethasone oral soln (0.1mg/1ml),S02BA
dexamethasone oral soln (0.1mg/1ml),S03BA
diphenoxylate-atropine,A03BA
diphenoxylate-atropine,S01FA
diphenoxylate-atropine,A07DA
furosemide,C03CA
kaopectate/benadryl/lido visc.,C01BB
kaolin-pectin/benadryl/lido visc.,C01BB
lidocaine viscous 2%,C01BB
lidocaine viscous,C01BB
kaopectate/benadryl/lido visc.,C05AD
kaolin-pectin/benadryl/lido visc.,C05AD
lidocaine viscous 2%,C05AD
lidocaine viscous,C05AD
kaopectate/benadryl/lido visc.,D04AB
kaolin-pectin/benadryl/lido visc.,D04AB
lidocaine viscous 2%,D04AB
lidocaine viscous,D04AB
kaopectate/benadryl/lido visc.,N01BB
kaolin-pectin/benadryl/lido visc.,N01BB
lidocaine viscous 2%,N01BB
lidocaine viscous,N01BB
kaopectate/benadryl/lido visc.,R02AD
kaolin-pectin/benadryl/lido visc.,R02AD
lidocaine viscous 2%,R02AD
lidocaine viscous,R02AD
kaopectate/benadryl/lido visc.,S01HA
kaolin-pectin/benadryl/lido visc.,S01HA
lidocaine viscous 2%,S01HA
lidocaine viscous,S01HA
kaopectate/benadryl/lido visc.,S02DA
kaolin-pectin/benadryl/lido visc.,S02DA
lidocaine viscous 2%,S02DA
lidocaine viscous,S02DA
alternagel-benadryl-lidocaine visc.,C01BB
lidocaine ,C01BB
lidocaine,C01BB
lidocaine topical,C01BB
alternagel-benadryl-lidocaine visc.,C05AD
lidocaine ,C05AD
lidocaine,C05AD
lidocaine topical,C05AD
alternagel-benadryl-lidocaine visc.,D04AB
lidocaine ,D04AB
lidocaine,D04AB
lidocaine topical,D04AB
alternagel-benadryl-lidocaine visc.,N01BB
lidocaine ,N01BB
lidocaine,N01BB
lidocaine topical,N01BB
alternagel-benadryl-lidocaine visc.,R02AD
lidocaine ,R02AD
lidocaine,R02AD
lidocaine topical,R02AD
alternagel-benadryl-lidocaine visc.,S01HA
lidocaine ,S01HA
lidocaine,S01HA
lidocaine topical,S01HA
alternagel-benadryl-lidocaine visc.,S02DA
lidocaine ,S02DA
lidocaine,S02DA
lidocaine topical,S02DA
neo*po*lorazepam oral concentrate,N05BA
lorazepam,N05BA
meperidine,N02AB
*nf*esomeprazole ,N02AB
iso-osmotic dextrose,N02AB
vancomycin hcl,N02AB
nitroprusside sodium,N02AB
nitroglycerin,N02AB
ns,N02AB
d5w,N02AB
soln.,N02AB
propofol (generic),N02AB
potassium chloride,N02AB
humulin-r insulin,N02AB
sw,N02AB
unasyn,N02AB
meperidine hcl,N02AB
methadone hcl,N07BC
methad,N07BC
methadone,N07BC
methadon,N07BC
dilaudid,N07BC
neo*po*propranolol,C07AA
propranolol oral solution,C07AA
hcrf,A01AC
sw,A01AC
potassium chloride,A01AC
hcrf,C05AA
sw,C05AA
potassium chloride,C05AA
hcrf,D07AB
sw,D07AB
potassium chloride,D07AB
hcrf,D07XB
sw,D07XB
potassium chloride,D07XB
hcrf,D10AA
sw,D10AA
potassium chloride,D10AA
hcrf,H02AB
sw,H02AB
potassium chloride,H02AB
hcrf,R01AD
sw,R01AD
potassium chloride,R01AD
hcrf,S01BA
sw,S01BA
potassium chloride,S01BA
hcrf,S01CB
sw,S01CB
potassium chloride,S01CB
hcrf,S02BA
sw,S02BA
potassium chloride,S02BA
hcrf,S03BA
sw,S03BA
potassium chloride,S03BA
mercaptopurine,L01BB
calcium carbonate,A02AC
calc,A02AC
insulin detemir,A02AC
calcium carbonate suspension,A02AC
calcium carbonate,A12AA
calc,A12AA
insulin detemir,A12AA
calcium carbonate suspension,A12AA
clotrimazole,A01AB
omnaris (ciclesonide),A01AB
levalbuterol neb,A01AB
dulera (mometasone-formoterol),A01AB
clotrimazole,D01AC
omnaris (ciclesonide),D01AC
levalbuterol neb,D01AC
dulera (mometasone-formoterol),D01AC
clotrimazole,G01AF
omnaris (ciclesonide),G01AF
levalbuterol neb,G01AF
dulera (mometasone-formoterol),G01AF
ambien cr,A01AC
aspercreme ,A01AC
dexa,A01AC
dasatinib,A01AC
dexamethas,A01AC
dexametha,A01AC
temodar,A01AC
ambien cr,C05AA
aspercreme ,C05AA
dexa,C05AA
dasatinib,C05AA
dexamethas,C05AA
dexametha,C05AA
temodar,C05AA
ambien cr,D07AB
aspercreme ,D07AB
dexa,D07AB
dasatinib,D07AB
dexamethas,D07AB
dexametha,D07AB
temodar,D07AB
ambien cr,D07XB
aspercreme ,D07XB
dexa,D07XB
dasatinib,D07XB
dexamethas,D07XB
dexametha,D07XB
temodar,D07XB
ambien cr,D10AA
aspercreme ,D10AA
dexa,D10AA
dasatinib,D10AA
dexamethas,D10AA
dexametha,D10AA
temodar,D10AA
ambien cr,H02AB
aspercreme ,H02AB
dexa,H02AB
dasatinib,H02AB
dexamethas,H02AB
dexametha,H02AB
temodar,H02AB
ambien cr,R01AD
aspercreme ,R01AD
dexa,R01AD
dasatinib,R01AD
dexamethas,R01AD
dexametha,R01AD
temodar,R01AD
ambien cr,S01BA
aspercreme ,S01BA
dexa,S01BA
dasatinib,S01BA
dexamethas,S01BA
dexametha,S01BA
temodar,S01BA
ambien cr,S01CB
aspercreme ,S01CB
dexa,S01CB
dasatinib,S01CB
dexamethas,S01CB
dexametha,S01CB
temodar,S01CB
ambien cr,S02BA
aspercreme ,S02BA
dexa,S02BA
dasatinib,S02BA
dexamethas,S02BA
dexametha,S02BA
temodar,S02BA
ambien cr,S03BA
aspercreme ,S03BA
dexa,S03BA
dasatinib,S03BA
dexamethas,S03BA
dexametha,S03BA
temodar,S03BA
dexamet,A01AC
dexameth,A01AC
dex,A01AC
dexam,A01AC
dexamethason,A01AC
dexame,A01AC
dexamethaso,A01AC
ketorolac,A01AC
dexamet,C05AA
dexameth,C05AA
dex,C05AA
dexam,C05AA
dexamethason,C05AA
dexame,C05AA
dexamethaso,C05AA
ketorolac,C05AA
dexamet,D07AB
dexameth,D07AB
dex,D07AB
dexam,D07AB
dexamethason,D07AB
dexame,D07AB
dexamethaso,D07AB
ketorolac,D07AB
dexamet,D07XB
dexameth,D07XB
dex,D07XB
dexam,D07XB
dexamethason,D07XB
dexame,D07XB
dexamethaso,D07XB
ketorolac,D07XB
dexamet,D10AA
dexameth,D10AA
dex,D10AA
dexam,D10AA
dexamethason,D10AA
dexame,D10AA
dexamethaso,D10AA
ketorolac,D10AA
dexamet,H02AB
dexameth,H02AB
dex,H02AB
dexam,H02AB
dexamethason,H02AB
dexame,H02AB
dexamethaso,H02AB
ketorolac,H02AB
dexamet,R01AD
dexameth,R01AD
dex,R01AD
dexam,R01AD
dexamethason,R01AD
dexame,R01AD
dexamethaso,R01AD
ketorolac,R01AD
dexamet,S01BA
dexameth,S01BA
dex,S01BA
dexam,S01BA
dexamethason,S01BA
dexame,S01BA
dexamethaso,S01BA
ketorolac,S01BA
dexamet,S01CB
dexameth,S01CB
dex,S01CB
dexam,S01CB
dexamethason,S01CB
dexame,S01CB
dexamethaso,S01CB
ketorolac,S01CB
dexamet,S02BA
dexameth,S02BA
dex,S02BA
dexam,S02BA
dexamethason,S02BA
dexame,S02BA
dexamethaso,S02BA
ketorolac,S02BA
dexamet,S03BA
